DateTime,X1,X2,X3,X4,Y
2022-01-01 00:00:00,2.186333333333333,13.76,0.0663,0.1547,521163.8354
2022-01-01 00:10:00,2.138,13.9,0.091,0.1105,449066.62018
2022-01-01 00:20:00,2.1043333333333334,13.9,0.0806,0.13,437394.72159
2022-01-01 00:30:00,2.0403333333333333,14.0,0.1183,0.1248,422107.63292
2022-01-01 00:40:00,1.973666666666667,14.14,0.0624,0.1105,406923.8354
2022-01-01 00:50:00,1.951,14.38,0.0767,0.1404,394838.77221
2022-01-01 01:00:00,1.8803333333333332,14.54,0.0624,0.1248,384199.78478
2022-01-01 01:10:00,1.832,14.64,0.0715,0.1209,374800.29115
2022-01-01 01:20:00,1.8926666666666667,14.62,0.0858,0.1833,363438.26584
2022-01-01 01:30:00,1.8303333333333327,14.46,0.0806,0.1443,354968.39239
2022-01-01 01:40:00,1.838666666666667,14.5,0.0663,0.1404,348461.05062
2022-01-01 01:50:00,1.8236666666666668,14.34,0.0767,0.1638,342470.1646
2022-01-01 02:00:00,1.6863333333333337,14.72,0.091,0.1248,333277.25310000003
2022-01-01 02:10:00,1.656,14.76,0.091,0.1742,321811.93664
2022-01-01 02:20:00,1.6583333333333332,14.78,0.0715,0.1976,317783.5823
2022-01-01 02:30:00,1.6323333333333334,14.82,0.091,0.1248,314581.55699
2022-01-01 02:40:00,1.6733333333333331,14.94,0.0663,0.1742,310863.07593
2022-01-01 02:50:00,1.8023333333333331,14.7,0.0806,0.2119,307454.46832000004
2022-01-01 03:00:00,1.723,14.580000000000002,0.0858,0.1404,301050.4177
2022-01-01 03:10:00,1.6936666666666669,14.54,0.0663,0.169,299191.17717
2022-01-01 03:20:00,1.6803333333333337,14.44,0.0806,0.1976,297022.06336000003
2022-01-01 03:30:00,1.678,14.38,0.0663,0.2405,297022.06336000003
2022-01-01 03:40:00,1.632,14.32,0.091,0.1781,292373.96195
2022-01-01 03:50:00,1.6016666666666666,14.24,0.0767,0.1742,289378.51894
2022-01-01 04:00:00,1.5843333333333334,14.14,0.0572,0.1742,291134.46832000004
2022-01-01 04:10:00,1.6336666666666666,13.88,0.091,0.1586,290411.43044
2022-01-01 04:20:00,1.7343333333333335,13.82,0.0806,0.1248,291237.75947
2022-01-01 04:30:00,1.798,13.38,0.0949,0.13,290927.88602000003
2022-01-01 04:40:00,1.7186666666666666,13.8,0.0806,0.1924,290618.01274000003
2022-01-01 04:50:00,1.7263333333333335,13.84,0.0481,0.1781,287519.27841
2022-01-01 05:00:00,1.6446666666666667,13.580000000000002,0.0715,0.1742,291444.34177
2022-01-01 05:10:00,1.5726666666666669,14.16,0.0663,0.1976,292787.12655
2022-01-01 05:20:00,1.848666666666667,13.8,0.0715,0.1209,292890.4177
2022-01-01 05:30:00,1.5526666666666669,13.7,0.0572,0.1352,295782.56956
2022-01-01 05:40:00,1.4606666666666666,14.38,0.0949,0.1924,296815.48106
2022-01-01 05:50:00,1.404,14.66,0.1521,0.1066,305905.10124000005
2022-01-01 06:00:00,1.436,14.44,0.0806,0.1638,319952.69628
2022-01-01 06:10:00,1.5783333333333334,13.86,0.052,0.2028,314994.72159
2022-01-01 06:20:00,1.5896666666666668,14.12,0.1287,0.0819,312412.44301
2022-01-01 06:30:00,1.64,13.74,0.1287,0.1248,310346.62018
2022-01-01 06:40:00,1.4693333333333334,14.34,0.0481,0.1547,307144.59487
2022-01-01 06:50:00,1.43,14.4,0.0429,0.2509,296608.89875999995
2022-01-01 07:00:00,1.4346666666666668,14.2,0.0624,0.1976,281941.55699
2022-01-01 07:10:00,1.5043333333333333,13.919999999999998,0.0715,0.1742,263659.02531
2022-01-01 07:20:00,1.4963333333333333,13.86,0.1053,0.1547,251057.50637
2022-01-01 07:30:00,1.452,13.46,0.091,0.1547,249508.13929
2022-01-01 07:40:00,1.4926666666666666,13.44,0.0949,0.1157,249301.55699
2022-01-01 07:50:00,1.5276666666666667,13.2,0.0858,0.1352,248991.68354
2022-01-01 08:00:00,1.598,13.4,0.2431,0.1885,254775.98726
